Numero_de_salidas	
1	
Numero_de_entradas	
1	
Periodo_de_muestreo	
0.01	
Numero_de_datos	
1000	
0.0136576693782189	0.0159186614899447
0.000945808187708508	0.0108325232682382
-0.00668130852659843	0.0108325232682382
0.000945808187708508	0.0159186614899447
0.0162000416163188	0.00320331593568213
-0.00668130852659843	0.00574638504653535
0.0162000416163188	0.00320331593568213
-0.00413893628849848	0.0210047997116476
0.00603055266391195	0.0133755923790915
0.000945808187708508	0.0159186614899447
-0.00922368076470192	0.0133755923790915
0.00603055266391195	0.00828945415738858
0.00348818042580845	0.0133755923790915
0.000945808187708508	0.0159186614899447
-0.00413893628849848	0.0159186614899447
0.0187424138544223	0.0108325232682382
-0.00159656405039499	0.0159186614899447
0.0136576693782189	0.0133755923790915
-0.00413893628849848	0.0133755923790915
0.0212847860925223	0.00828945415738858
0.0111152971401154	0.0108325232682382
-0.00159656405039499	0.00828945415738858
-0.00413893628849848	0.0159186614899447
0.00603055266391195	0.00320331593568213
0.0289119028068292	0.00320331593568213
-0.00922368076470192	0.0159186614899447
0.0111152971401154	0.0108325232682382
-0.00668130852659843	0.0133755923790915
-0.00159656405039499	0.0159186614899447
-0.00159656405039499	0.0159186614899447
-0.00159656405039499	0.0159186614899447
-0.0117660530028054	0.0184617306007944
0.000945808187708508	0.00320331593568213
0.00603055266391195	0.00828945415738858
-0.0117660530028054	0.0133755923790915
-0.00159656405039499	0.00574638504653535
0.000945808187708508	0.0108325232682382
0.00857292490201189	0.0108325232682382
0.00857292490201189	0.0108325232682382
0.000945808187708508	0.0159186614899447
0.0289119028068292	0.0133755923790915
-0.00922368076470192	0.0108325232682382
0.00603055266391195	0.0184617306007944
0.00857292490201189	0.0133755923790915
-0.00922368076470192	0.0159186614899447
0.0289119028068292	0.00320331593568213
0.0162000416163188	0.00320331593568213
-0.00159656405039499	0.0133755923790915
0.00857292490201189	0.00320331593568213
-0.00668130852659843	0.0133755923790915
-0.00922368076470192	0.00828945415738858
-0.00159656405039499	0.00828945415738858
0.000945808187708508	0.0184617306007944
-0.00159656405039499	0.0108325232682382
-0.00668130852659843	0.0159186614899447
0.00603055266391195	0.00320331593568213
-0.00159656405039499	0.0108325232682382
0.00857292490201189	0.0159186614899447
0.0136576693782189	0.0133755923790915
-0.00159656405039499	0.00320331593568213
-0.00668130852659843	0.0108325232682382
0.000945808187708508	0.0184617306007944
-0.00159656405039499	0.00574638504653535
0.000945808187708508	0.0133755923790915
0.0187424138544223	0.00320331593568213
-0.00668130852659843	0.00828945415738858
-0.00668130852659843	0.00320331593568213
0.00603055266391195	0.00320331593568213
-0.00159656405039499	0.0108325232682382
0.0212847860925223	0.000660246824832456
-0.00922368076470192	0.0159186614899447
0.0162000416163188	0.00828945415738858
0.00857292490201189	0.0133755923790915
0.00603055266391195	0.0133755923790915
0.0212847860925223	0.00320331593568213
-0.00668130852659843	0.00320331593568213
-0.00668130852659843	0.0133755923790915
0.000945808187708508	0.0159186614899447
-0.00668130852659843	0.0210047997116476
0.00348818042580845	0.0108325232682382
0.00603055266391195	0.0159186614899447
-0.00668130852659843	0.0210047997116476
0.00348818042580845	0.00828945415738858
0.00857292490201189	0.00320331593568213
0.0136576693782189	0.00320331593568213
0.0187424138544223	0.000660246824832456
-0.00413893628849848	0.0210047997116476
0.000945808187708508	0.0184617306007944
0.0111152971401154	0.00320331593568213
0.0187424138544223	0.0133755923790915
0.0136576693782189	0.0133755923790915
0.00857292490201189	0.00828945415738858
0.0111152971401154	0.0133755923790915
-0.00413893628849848	0.0235478688225008
-0.00159656405039499	0.0159186614899447
0.0187424138544223	0.0108325232682382
-0.0117660530028054	0.00320331593568213
0.000945808187708508	0.0184617306007944
-0.00413893628849848	0.00828945415738858
0.00603055266391195	0.00828945415738858
0.00857292490201189	0.0108325232682382
0.000945808187708508	0.00320331593568213
0.000945808187708508	0.0108325232682382
0.0187424138544223	0.0108325232682382
-0.00159656405039499	0.0108325232682382
-0.00159656405039499	0.00574638504653535
-0.00922368076470192	0.0210047997116476
-0.00159656405039499	0.0108325232682382
0.000945808187708508	0.00574638504653535
0.0136576693782189	0.0184617306007944
-0.00668130852659843	0.00828945415738858
-0.00159656405039499	0.0159186614899447
-0.00668130852659843	0.0159186614899447
0.00603055266391195	0.00320331593568213
-0.00922368076470192	0.0133755923790915
0.0187424138544223	0.00828945415738858
0.0111152971401154	0.00828945415738858
0.000945808187708508	0.0184617306007944
0.0111152971401154	0.0159186614899447
0.0212847860925223	0.000660246824832456
-0.00159656405039499	0.00828945415738858
0.00857292490201189	0.0159186614899447
0.00603055266391195	0.0210047997116476
0.0136576693782189	0.0159186614899447
0.0111152971401154	0.0108325232682382
0.000945808187708508	0.00574638504653535
-0.00159656405039499	0.0133755923790915
-0.00922368076470192	0.0159186614899447
0.00857292490201189	0.00320331593568213
0.0162000416163188	0.00574638504653535
-0.00922368076470192	0.0133755923790915
-0.00159656405039499	0.00320331593568213
0.00348818042580845	0.0159186614899447
0.00603055266391195	0.0184617306007944
0.00857292490201189	0.00828945415738858
0.0212847860925223	0.00320331593568213
0.00603055266391195	0.00574638504653535
-0.00413893628849848	0.0133755923790915
0.00348818042580845	0.0108325232682382
0.0136576693782189	0.00320331593568213
0.0212847860925223	0.0108325232682382
0.000945808187708508	0.00828945415738858
0.00348818042580845	0.0133755923790915
-0.00159656405039499	0.00828945415738858
-0.00413893628849848	0.0108325232682382
0.0187424138544223	0.00828945415738858
0.000945808187708508	0.0159186614899447
0.000945808187708508	0.0159186614899447
0.000945808187708508	0.00320331593568213
0.000945808187708508	0.0133755923790915
-0.00413893628849848	0.0159186614899447
0.00603055266391195	0.0133755923790915
-0.00159656405039499	0.0133755923790915
0.00857292490201189	0.0133755923790915
-0.00668130852659843	0.0159186614899447
-0.00159656405039499	0.0159186614899447
0.00857292490201189	0.0184617306007944
0.000945808187708508	0.0133755923790915
-0.00159656405039499	0.00574638504653535
0.0187424138544223	0.0159186614899447
0.0212847860925223	0.00320331593568213
0.00603055266391195	0.0133755923790915
0.00603055266391195	0.0108325232682382
0.0162000416163188	0.0159186614899447
-0.00159656405039499	0.00320331593568213
0.00857292490201189	0.00320331593568213
0.00603055266391195	0.00574638504653535
-0.00159656405039499	0.0159186614899447
-0.00413893628849848	0.00574638504653535
0.0314542750449327	0.00320331593568213
0.0289119028068292	0.0108325232682382
0.000945808187708508	0.0159186614899447
0.0136576693782189	0.0133755923790915
-0.0143084252409054	0.0159186614899447
0.0187424138544223	0.0159186614899447
-0.0117660530028054	0.0133755923790915
-0.0143084252409054	0.0133755923790915
0.00603055266391195	0.00320331593568213
0.000945808187708508	0.00320331593568213
0.000945808187708508	0.0159186614899447
-0.00922368076470192	0.0210047997116476
0.00857292490201189	0.0108325232682382
0.0111152971401154	0.00320331593568213
0.000945808187708508	0.00320331593568213
-0.00413893628849848	0.0159186614899447
0.0111152971401154	0.0159186614899447
0.000945808187708508	0.0108325232682382
0.00603055266391195	0.0133755923790915
0.0238271583306258	0.00320331593568213
0.000945808187708508	0.0108325232682382
0.0136576693782189	0.0184617306007944
-0.00922368076470192	0.00574638504653535
-0.00668130852659843	0.0133755923790915
0.0162000416163188	0.0108325232682382
0.000945808187708508	0.0159186614899447
-0.00413893628849848	0.0108325232682382
0.0136576693782189	0.0108325232682382
0.0136576693782189	0.0108325232682382
0.0187424138544223	0.0108325232682382
-0.00922368076470192	0.00320331593568213
0.000945808187708508	0.0184617306007944
0.00857292490201189	0.0210047997116476
0.00603055266391195	0.0133755923790915
-0.00413893628849848	0.00574638504653535
0.0187424138544223	0.0133755923790915
-0.0143084252409054	0.0210047997116476
-0.00413893628849848	0.0184617306007944
-0.00922368076470192	0.0184617306007944
-0.00922368076470192	0.0184617306007944
-0.00668130852659843	0.0108325232682382
0.0187424138544223	0.00320331593568213
0.0111152971401154	0.00828945415738858
0.000945808187708508	0.00828945415738858
0.0238271583306258	0.0133755923790915
-0.00413893628849848	0.0108325232682382
0.0212847860925223	0.00320331593568213
0.00603055266391195	0.00320331593568213
0.0111152971401154	0.0108325232682382
0.000945808187708508	0.0133755923790915
-0.00668130852659843	0.0159186614899447
-0.00159656405039499	0.00574638504653535
0.00603055266391195	0.0108325232682382
-0.00413893628849848	0.00828945415738858
-0.00668130852659843	0.0210047997116476
-0.00668130852659843	0.0133755923790915
-0.00413893628849848	0.0108325232682382
0.00603055266391195	0.000660246824832456
0.0136576693782189	0.0108325232682382
0.00857292490201189	0.0133755923790915
0.00603055266391195	0.00320331593568213
0.00603055266391195	0.00320331593568213
0.000945808187708508	0.0184617306007944
0.0187424138544223	0.00320331593568213
-0.00413893628849848	0.00574638504653535
0.0187424138544223	0.0159186614899447
0.000945808187708508	0.0133755923790915
-0.00922368076470192	0.0159186614899447
-0.00159656405039499	0.0133755923790915
-0.00413893628849848	0.0159186614899447
-0.0168507974790089	0.0133755923790915
0.0111152971401154	0.0159186614899447
0.00348818042580845	0.0159186614899447
-0.00413893628849848	0.0108325232682382
0.000945808187708508	0.0133755923790915
-0.00413893628849848	0.0184617306007944
0.00348818042580845	0.0133755923790915
